id,geokret,lat,lon,elevation,country,distance,waypoint,author,comment,pictures_count,comments_count,username,app,app_ver,created_on_datetime,moved_on_datetime,updated_on_datetime,move_type,position,comment_hidden
6117191,66184,NULL,NULL,NULL,NULL,0,NULL,51208,,0,0,NULL,www,v2.62.0-11-g2f4fac7b,2025-11-16 09:55:44+00,2025-11-16 09:55:04+00,2025-11-16 09:55:44+00,3,NULL,False
6117190,66148,NULL,NULL,NULL,NULL,0,NULL,51208,,0,0,NULL,www,v2.62.0-11-g2f4fac7b,2025-11-16 09:50:45+00,2025-11-16 09:50:16+00,2026-01-17 13:09:05+00,3,NULL,False
6117189,66148,43.69365,6.86097,746,fr,0,GC5BRQK,26422,,0,1,NULL,www,v2.62.0-11-g2f4fac7b,2025-11-16 09:38:46+00,2025-11-16 09:38:37+00,2026-01-17 13:09:05+00,5,0101000020E61000003659A31EA2711B40696FF085C9D84540,False
6117188,102333,NULL,NULL,NULL,NULL,0,NULL,51210,,0,0,NULL,www,v2.60.0-30-ge1049be2,2025-10-18 10:23:11+00,2025-10-18 10:23:08+00,2025-10-18 10:23:11+00,3,NULL,False
6117187,102333,NULL,NULL,NULL,NULL,0,NULL,51210,,0,0,NULL,www,v2.60.0-30-ge1049be2,2025-10-18 10:21:39+00,2025-10-18 10:21:35+00,2025-10-18 10:23:11+00,3,NULL,False
6117186,102333,NULL,NULL,NULL,NULL,0,NULL,51210,,0,0,NULL,www,v2.60.0-30-ge1049be2,2025-10-18 10:13:50+00,2025-10-18 10:13:45+00,2025-10-18 10:23:11+00,3,NULL,False
6117185,102333,NULL,NULL,NULL,NULL,0,NULL,51210,,0,0,NULL,www,v2.60.0-30-ge1049be2,2025-10-18 10:13:18+00,2025-10-18 10:13:10+00,2025-10-18 10:23:11+00,3,NULL,False
6117184,102333,NULL,NULL,NULL,NULL,0,NULL,51210,,0,0,NULL,www,v2.60.0-30-ge1049be2,2025-10-18 10:09:42+00,2025-10-18 10:09:37+00,2025-10-18 10:23:11+00,3,NULL,False
6117183,102333,NULL,NULL,NULL,NULL,0,NULL,26422,,0,6,NULL,www,v2.60.0-30-ge1049be2,2025-10-17 17:13:52+00,2025-10-17 17:13:49+00,2025-10-18 10:33:37+00,3,NULL,False
6117182,102333,NULL,NULL,NULL,NULL,0,NULL,26422,,0,1,NULL,www,v2.60.0-30-ge1049be2,2025-10-17 17:12:45+00,2025-10-17 17:12:30+00,2025-10-18 10:23:11+00,3,NULL,False
6117181,102333,43.69365,6.86097,746,fr,0,GC5BRQK,51210,,0,7,NULL,www,v2.60.0-30-ge1049be2,2025-10-17 16:30:21+00,2025-10-17 16:26:00+00,2025-10-18 10:23:11+00,5,0101000020E61000003659A31EA2711B40696FF085C9D84540,False
6117180,102333,NULL,NULL,NULL,NULL,0,NULL,51210,,0,2,NULL,www,v2.60.0-30-ge1049be2,2025-10-17 16:25:12+00,2025-10-17 16:25:00+00,2025-10-18 10:23:11+00,3,NULL,False
6117179,66148,43.69365,6.86097,746,fr,0,GC5BRQK,51210,,0,0,NULL,www,v2.60.0-30-ge1049be2,2025-10-17 15:42:32+00,2025-10-17 15:42:22+00,2026-01-17 13:09:05+00,3,0101000020E61000003659A31EA2711B40696FF085C9D84540,False
6117178,102330,NULL,NULL,NULL,NULL,0,NULL,26422,rr,0,0,NULL,www,v2.60.0-2-g312d4ea6,2025-09-28 14:55:33+00,2025-09-28 14:52:00+00,2025-09-28 14:55:33+00,3,NULL,False
